Zip,state,Subregion annual CO2e output emission rate (lb/kWh)
2093,MA,0.727603
2108,MA,0.727603
2109,MA,0.727603
2110,MA,0.727603
2111,MA,0.727603
2112,MA,0.727603
2113,MA,0.727603
2114,MA,0.727603
2115,MA,0.727603
2116,MA,0.727603
2117,MA,0.727603
2118,MA,0.727603
2119,MA,0.727603
2120,MA,0.727603
2121,MA,0.727603
2122,MA,0.727603
2123,MA,0.727603
2124,MA,0.727603
2125,MA,0.727603
2126,MA,0.727603
2127,MA,0.727603
2128,MA,0.727603
2129,MA,0.727603
2130,MA,0.727603
2131,MA,0.727603
2132,MA,0.727603
2133,MA,0.727603
2134,MA,0.727603
2135,MA,0.727603
2136,MA,0.727603
2137,MA,0.727603
2138,MA,0.727603
2139,MA,0.727603
2140,MA,0.727603
2141,MA,0.727603
2142,MA,0.727603
2143,MA,0.727603
2144,MA,0.727603
2145,MA,0.727603
2148,MA,0.727603
2149,MA,0.727603
2150,MA,0.727603
2151,MA,0.727603
2152,MA,0.727603
2153,MA,0.727603
2155,MA,0.727603
2156,MA,0.727603
2163,MA,0.727603
2169,MA,0.727603
2170,MA,0.727603
2171,MA,0.727603
2176,MA,0.727603
2180,MA,0.727603
2184,MA,0.727603
2185,MA,0.727603
2186,MA,0.727603
2187,MA,0.727603
2188,MA,0.727603
2189,MA,0.727603
2190,MA,0.727603
2191,MA,0.727603
2196,MA,0.727603
2199,MA,0.727603
2201,MA,0.727603
2203,MA,0.727603
2204,MA,0.727603
2205,MA,0.727603
2206,MA,0.727603
2210,MA,0.727603
2211,MA,0.727603
2212,MA,0.727603
2215,MA,0.727603
2217,MA,0.727603
2222,MA,0.727603
2228,MA,0.727603
2238,MA,0.727603
2241,MA,0.727603
2266,MA,0.727603
2269,MA,0.727603
2283,MA,0.727603
2284,MA,0.727603
2293,MA,0.727603
2295,MA,0.727603
2297,MA,0.727603
2298,MA,0.727603
2301,MA,0.727603
2302,MA,0.727603
2303,MA,0.727603
2304,MA,0.727603
2305,MA,0.727603
2322,MA,0.727603
2324,MA,0.727603
2325,MA,0.727603
2327,MA,0.727603
2330,MA,0.727603
2331,MA,0.727603
2332,MA,0.727603
2333,MA,0.727603
2334,MA,0.727603
2337,MA,0.727603
2338,MA,0.727603
2339,MA,0.727603
2340,MA,0.727603
2341,MA,0.727603
2343,MA,0.727603
2344,MA,0.727603
2345,MA,0.727603
2346,MA,0.727603
2347,MA,0.727603
2348,MA,0.727603
2349,MA,0.727603
2350,MA,0.727603
2351,MA,0.727603
2355,MA,0.727603
2356,MA,0.727603
2357,MA,0.727603
2358,MA,0.727603
2359,MA,0.727603
2360,MA,0.727603
2361,MA,0.727603
2362,MA,0.727603
2364,MA,0.727603
2366,MA,0.727603
2367,MA,0.727603
2368,MA,0.727603
2370,MA,0.727603
2375,MA,0.727603
2379,MA,0.727603
2381,MA,0.727603
2382,MA,0.727603
2420,MA,0.727603
2421,MA,0.727603
2445,MA,0.727603
2446,MA,0.727603
2447,MA,0.727603
2451,MA,0.727603
2452,MA,0.727603
2453,MA,0.727603
2454,MA,0.727603
2455,MA,0.727603
2456,MA,0.727603
2457,MA,0.727603
2458,MA,0.727603
2459,MA,0.727603
2460,MA,0.727603
2461,MA,0.727603
2462,MA,0.727603
2464,MA,0.727603
2465,MA,0.727603
2466,MA,0.727603
2467,MA,0.727603
2468,MA,0.727603
2471,MA,0.727603
2472,MA,0.727603
2474,MA,0.727603
2475,MA,0.727603
2476,MA,0.727603
2477,MA,0.727603
2478,MA,0.727603
2479,MA,0.727603
2481,MA,0.727603
2482,MA,0.727603
2492,MA,0.727603
2493,MA,0.727603
2494,MA,0.727603
2495,MA,0.727603
2532,MA,0.727603
